ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10134,41,94.74,2,3884.34,"7/1/2003 0:00",Shipped,3,7,2003,Motorcycles,95,S10_1678,"Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,Paris,,75508,France,EMEA,"Da Cunha",Daniel,Medium
10145,45,83.26,6,3746.7,"8/25/2003 0:00",Shipped,3,8,2003,Motorcycles,95,S10_1678,Toys4GrownUps.com,6265557265,"78934 Hillside Dr.",,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159,49,100,14,5205.27,"10/10/2003 0:00",Shipped,4,10,2003,Motorcycles,95,S10_1678,"Corporate Gift Ideas Co.",6505551386,"7734 Strong St.",,"San Francisco",CA,,USA,NA,Brown,Julie,Medium
10168,36,96.66,1,3479.76,"10/28/2003 0:00",Shipped,4,10,2003,Motorcycles,95,S10_1678,"Technics Stores Inc.",6505556809,"9408 Furth Circle",,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10188,48,100,1,5512.32,"11/18/2003 0:00",Shipped,4,11,2003,Motorcycles,95,S10_1678,"Herkku Gifts","+47 2267 3215","Drammen 121, PR 744 Sentrum",,Bergen,,"N 5804",Norway,EMEA,Oeztan,Veysel,Medium
10211,41,100,14,4708.44,"1/15/2004 0:00",Shipped,1,1,2004,Motorcycles,95,S10_1678,"Auto Canal Petit","(1) 47.55.6555","25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10223,37,100,1,3965.66,"2/20/2004 0:00",Shipped,1,2,2004,Motorcycles,95,S10_1678,"Australian Collectors, Co.","03 9520 4555","636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10251,28,100,2,3188.64,"5/18/2004 0:00",Shipped,2,5,2004,Motorcycles,95,S10_1678,"Tekni Collectables Inc.",2015559350,"7476 Moss Rd.",,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263,34,100,2,3676.76,"6/28/2004 0:00",Shipped,2,6,2004,Motorcycles,95,S10_1678,"Gift Depot Inc.",2035552570,"25593 South Bay Ln.",,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275,45,92.83,1,4177.35,"7/23/2004 0:00",Shipped,3,7,2004,Motorcycles,95,S10_1678,"La Rochelle Gifts",40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
